set,length,max_containment_k6,max_jaccard_k6
S1,451,0.9072164948453608,0.8027522935779816
S1,441,0.7313432835820896,0.6074380165289256
S1,552,0.3724007561436673,0.3265993265993266
S1,295,0.23880597014925373,0.11149825783972125
S1,275,0.9754098360655737,0.952
S1,241,0.614406779661017,0.562015503875969
S1,554,0.5721649484536082,0.40217391304347827
S1,619,1.0,1.0
S1,338,0.975177304964539,0.9385665529010239
S1,239,1.0,1.0
S1,499,0.837696335078534,0.7207207207207207
S1,551,0.4625,0.2824427480916031
S1,506,0.6455399061032864,0.50390625
S1,373,0.6739130434782609,0.6578249336870027
S1,331,0.6062992125984252,0.5032679738562091
S1,322,0.9595959595959596,0.9223300970873787
S1,656,1.0,1.0
S1,626,1.0,1.0
S1,536,1.0,1.0
S1,565,0.06,0.043824701195219126
S1,333,0.875,0.7795527156549521
S1,389,1.0,0.9685863874345549
S1,106,0.49504950495049505,0.24154589371980675
S1,286,0.8540925266903915,0.8053691275167785
S1,721,0.997624703087886,0.995260663507109
S1,282,0.9657794676806084,0.951310861423221
S1,942,0.8207171314741036,0.8062622309197651
S1,225,0.9702380952380952,0.9421965317919075
S1,215,0.9666666666666667,0.9485981308411215
S1,814,0.5884057971014492,0.32688172043010755
S1,394,0.8663239074550129,0.6767068273092369
S2,278,0.5897435897435898,0.4952681388012618
S2,220,0.9302325581395349,0.8733624454148472
S2,371,0.9788732394366197,0.9586206896551724
S2,324,0.9801980198019802,0.9611650485436893
S2,591,0.5341365461847389,0.40181268882175225
S2,216,0.03317535545023697,0.016786570743405275
S2,429,0.9901960784313726,0.9805825242718447
S2,658,0.7378640776699029,0.5984251968503937
S2,291,0.17857142857142858,0.08944543828264759
S2,415,0.03414634146341464,0.024054982817869417
S2,384,0.4534412955465587,0.35
S2,327,0.7951807228915663,0.66
S2,311,0.3639705882352941,0.2560646900269542
S2,319,0.8122743682310469,0.6578947368421053
S2,619,1.0,1.0
S2,559,0.0637065637065637,0.04360056258790436
S2,359,0.22330097087378642,0.16389548693586697
S2,619,1.0,1.0
S2,458,0.9670781893004116,0.9437751004016064
S2,534,0.7197696737044146,0.5751533742331288
S2,325,1.0,1.0
S2,714,0.5291666666666667,0.40836012861736337
S2,322,0.9595959595959596,0.9223300970873787
S2,346,0.5381165919282511,0.42105263157894735
S2,255,0.8693877551020408,0.6698113207547169
S2,290,0.8065843621399177,0.7050359712230215
S2,499,0.93717277486911,0.8817733990147784
S2,474,0.40555555555555556,0.26996197718631176
S2,691,0.5048076923076923,0.40310077519379844
S2,292,0.9465020576131687,0.8070175438596491
S2,718,1.0,1.0
S2,673,1.0,1.0
S2,460,0.9771428571428571,0.9447513812154696
S2,385,0.08602150537634409,0.04070796460176991
S2,293,0.9536679536679536,0.9114391143911439
S2,266,0.11583011583011583,0.0737913486005089
S2,214,0.9617224880382775,0.9054054054054054
S2,324,1.0,1.0
S2,697,0.927710843373494,0.927710843373494
S2,610,0.10150375939849623,0.06912442396313365
S3,322,1.0,0.9879518072289156
S3,576,0.983739837398374,0.983739837398374
S3,258,0.9308755760368663,0.9017857142857143
S3,476,0.5391566265060241,0.4661458333333333
S3,558,0.979381443298969,0.9595959595959596
S3,426,1.0,1.0
S3,555,1.0,1.0
S3,425,0.6614906832298136,0.5949720670391061
S3,417,0.056511056511056514,0.032904148783977114
S3,393,0.30407523510971785,0.21852731591448932
S3,317,0.9305555555555556,0.891156462585034
S3,261,0.6011560693641619,0.4126984126984127
S3,367,1.0,1.0
S3,340,0.8105726872246696,0.6789667896678967
S3,198,0.09375,0.04891304347826087
S3,644,0.2531017369727047,0.15987460815047022
S3,620,0.965,0.965
S3,431,1.0,1.0
S3,258,0.7771084337349398,0.5458515283842795
S3,326,0.8058252427184466,0.6916666666666667
S3,1855,0.43427230046948356,0.3291814946619217
S3,404,0.987460815047022,0.9752321981424149
S3,422,0.84,0.721030042918455
S3,395,0.9176470588235294,0.8863636363636364
S3,178,0.9741935483870968,0.9741935483870968
S3,561,0.9206798866855525,0.8666666666666667
S3,272,0.171875,0.0722495894909688
S3,849,0.48066298342541436,0.4152744630071599
S3,722,0.9807692307692307,0.9053254437869822
S3,357,0.045454545454545456,0.02391629297458894
S3,522,0.9485981308411215,0.9022222222222223
S3,625,0.5825242718446602,0.4637096774193548
S3,370,0.9787985865724381,0.9551724137931035
S3,608,0.9900497512437811,0.9212962962962963
S3,592,0.5034013605442177,0.453125
S3,323,0.8629032258064516,0.6993464052287581
S3,474,0.7512437810945274,0.5813008130081301
S3,308,1.0,1.0
S3,328,1.0,1.0
S3,492,0.40186915887850466,0.2507936507936508
S4,385,0.5338078291814946,0.35545023696682465
S4,438,0.9808917197452229,0.9685534591194969
S4,233,0.043859649122807015,0.01935483870967742
S4,570,1.0,1.0
S4,218,0.7136150234741784,0.6666666666666666
S4,210,0.38235294117647056,0.1880597014925373
S4,226,0.8553459119496856,0.7597765363128491
S4,459,0.4112676056338028,0.22290076335877862
S4,253,0.9441860465116279,0.9441860465116279
S4,805,0.9251101321585903,0.842741935483871
S4,547,0.8741721854304636,0.6470588235294118
S4,543,0.9205020920502092,0.7942238267148014
S4,418,0.9197530864197531,0.7233009708737864
S4,379,0.5916030534351145,0.504885993485342
S4,324,0.9801980198019802,0.9611650485436893
S4,242,0.39069767441860465,0.26578073089701
S4,567,0.9414634146341463,0.9174757281553398
S4,324,0.9689655172413794,0.939799331103679
S4,534,1.0,1.0
S4,356,0.8670886075949367,0.8404907975460123
S4,329,0.69377990430622,0.5534351145038168
S4,290,0.7168949771689498,0.5587188612099644
S4,607,0.06227758007117438,0.043640897755610975
S4,341,0.3212996389891697,0.21549636803874092
S4,580,0.9646017699115044,0.9316239316239316
S4,443,0.9715639810426541,0.9715639810426541
S4,225,0.2552083333333333,0.13623188405797101
S4,302,0.706766917293233,0.6225165562913907
S4,239,0.9166666666666666,0.7668711656441718
S4,285,0.9960474308300395,0.9230769230769231
S4,368,0.9899497487437185,0.9800995024875622
S4,229,0.955,0.9227053140096618
S4,615,0.9965277777777778,0.9930795847750865
S4,423,0.6785714285714286,0.6186440677966102
S4,552,0.4812680115273775,0.42493638676844786
S4,340,0.9575971731448764,0.9003322259136213
S4,348,0.9774011299435028,0.9491525423728814
S4,689,0.7327188940092166,0.5888888888888889
S4,656,0.1265164644714038,0.09931972789115646
S4,954,0.7611202635914333,0.7611202635914333
S5,306,0.6982456140350877,0.5801749271137027
S5,567,0.8829268292682927,0.8119266055045872
S5,366,0.6175548589341693,0.4467120181405896
S5,853,0.6286919831223629,0.4722222222222222
S5,373,0.09782608695652174,0.0564373897707231
S5,251,0.8826086956521739,0.7868217054263565
S5,500,0.28530259365994237,0.22580645161290322
S5,425,1.0,1.0
S5,1059,0.4880952380952381,0.46458923512747874
S5,542,0.796976241900648,0.75
S5,233,0.9217877094972067,0.9065934065934066
S5,701,0.6446280991735537,0.5591397849462365
S5,630,0.7725118483412322,0.7442922374429224
S5,373,0.8355704697986577,0.7638036809815951
S5,286,0.966542750929368,0.9420289855072463
S5,189,0.44047619047619047,0.23197492163009403
S5,381,0.9760956175298805,0.953307392996109
S5,305,0.9797297297297297,0.9602649006622517
S5,290,0.6986301369863014,0.5368421052631579
S5,372,0.967391304347826,0.9035532994923858
S5,799,0.7104377104377104,0.6028571428571429
S5,561,0.4542124542124542,0.44684684684684683
S5,545,0.8601036269430051,0.7545454545454545
S5,551,0.5229357798165137,0.4418604651162791
S5,447,0.8042328042328042,0.5735849056603773
S5,448,0.8394495412844036,0.7625
S5,355,0.4635416666666667,0.2672672672672673
S5,473,0.9571428571428572,0.9178082191780822
S5,324,0.9801980198019802,0.9611650485436893
S5,340,0.8105726872246696,0.6789667896678967
S5,645,0.9478260869565217,0.9316239316239316
S5,340,0.9646643109540636,0.8806451612903226
S5,285,0.8015873015873016,0.7188612099644128
S5,706,0.8385826771653543,0.7843866171003717
S5,570,1.0,1.0
S5,515,0.3181818181818182,0.23728813559322035
S5,293,0.8653846153846154,0.8458646616541353
S5,288,0.7188940092165899,0.5571428571428572
S5,273,0.9776119402985075,0.9562043795620438
S5,452,0.9820359281437125,0.9647058823529412
